32,2,10,0.49134,9.75e+07
32,2,15,0.48996,9.75e+07
32,2,20,0.48943,9.75e+07
32,2,25,0.48933,9.75e+07
32,2,30,0.48926,9.75e+07
32,4,10,0.49094,9e+07
32,4,15,0.48951,9e+07
32,4,20,0.48895,9e+07
32,4,25,0.48873,9e+07
32,4,30,0.48869,9e+07
32,8,10,0.3936,7.5e+07
32,8,15,0.3819,7.5e+07
32,8,20,0.37652,7.5e+07
32,8,25,0.37445,7.5e+07
32,8,30,0.37378,7.5e+07
64,2,10,0.47755,1.0125e+08
64,2,15,0.47453,1.0125e+08
64,2,20,0.4731,1.0125e+08
64,2,25,0.47261,1.0125e+08
64,2,30,0.47235,1.0125e+08
64,4,10,0.47186,9.75e+07
64,4,15,0.4679,9.75e+07
64,4,20,0.46606,9.75e+07
64,4,25,0.46528,9.75e+07
64,4,30,0.46509,9.75e+07
64,8,10,0.39345,9e+07
64,8,15,0.38114,9e+07
64,8,20,0.37528,9e+07
64,8,25,0.37296,9e+07
64,8,30,0.37216,9e+07
64,16,10,0.28402,7.5e+07
64,16,15,0.24141,7.5e+07
64,16,20,0.21804,7.5e+07
64,16,25,0.20795,7.5e+07
64,16,30,0.20424,7.5e+07
128,2,10,0.4043,1.0313e+08
128,2,15,0.39163,1.0313e+08
128,2,20,0.38515,1.0313e+08
128,2,25,0.38238,1.0313e+08
128,2,30,0.3815,1.0313e+08
128,4,10,0.29877,1.0125e+08
128,4,15,0.26084,1.0125e+08
128,4,20,0.23966,1.0125e+08
128,4,25,0.23076,1.0125e+08
128,4,30,0.22764,1.0125e+08
128,8,10,0.22315,9.75e+07
128,8,15,0.15575,9.75e+07
128,8,20,0.11592,9.75e+07
128,8,25,0.10047,9.75e+07
128,8,30,0.095519,9.75e+07
128,16,10,0.20012,9e+07
128,16,15,0.11749,9e+07
128,16,20,0.064448,9e+07
128,16,25,0.042069,9e+07
128,16,30,0.034722,9e+07
128,32,10,0.24512,7.5e+07
128,32,15,0.1721,7.5e+07
128,32,20,0.12197,7.5e+07
128,32,25,0.096427,7.5e+07
128,32,30,0.083744,7.5e+07
256,2,10,0.29818,1.0406e+08
256,2,15,0.2689,1.0406e+08
256,2,20,0.25405,1.0406e+08
256,2,25,0.2482,1.0406e+08
256,2,30,0.24637,1.0406e+08
256,4,10,0.25163,1.0313e+08
256,4,15,0.20315,1.0313e+08
256,4,20,0.17701,1.0313e+08
256,4,25,0.16639,1.0313e+08
256,4,30,0.16283,1.0313e+08
256,8,10,0.21151,1.0125e+08
256,8,15,0.13699,1.0125e+08
256,8,20,0.091762,1.0125e+08
256,8,25,0.073738,1.0125e+08
256,8,30,0.067879,1.0125e+08
256,16,10,0.1974,9.75e+07
256,16,15,0.1108,9.75e+07
256,16,20,0.05358,9.75e+07
256,16,25,0.029382,9.75e+07
256,16,30,0.021722,9.75e+07
256,32,10,0.1946,9e+07
